event,t,origin_utc,n,status,g0,forcing_mean,u,r,b_net,mse_dual_fit_to_mean,mse_net_fit_to_mean,sigma2,mean_path_peak,S_plug,nu2_plug,S_hat,nu2_hat
2019-11-27,42,2019-11-26 18:00:00,143,OK,7.372847508704336e-05,0.5154428904428904,0.0007658497891121429,2.5567705044427827e-14,17.134391284978495,1.9918382372246757e-06,1.0544461184106814e-06,0.00026254980754794344,0.011995128071950792,4.939500849093885e-07,0.00018456325895121486,-9.451327571435395e-07,0.00018118277357699557
2019-11-27,48,2019-11-27 00:00:00,144,OK,0.00010684019753289128,0.6956018518518517,0.0009209384569566273,9.45319334906999e-16,0.4663273970393491,6.39580011453716e-06,6.37745886684392e-06,0.0005060301424871296,0.018981871655132446,5.186192372702368e-05,0.0008089430951617658,4.49390555805723e-05,0.0008021316062700512
2019-11-27,54,2019-11-27 06:00:00,145,OK,0.00043412019486559146,0.7540229885057471,0.002364295265580554,0.16426152630601928,19.999999999999996,1.1025598326786776e-05,1.0438631562734697e-05,0.0005921978455846105,0.019231949818975268,1.3194537593276362e-05,0.000751730383656068,3.2019985382910765e-05,0.0010860957618232636
2019-11-27,60,2019-11-27 12:00:00,145,OK,0.003992322361235936,0.6410919540229885,0.004651588515523498,0.3058474404611351,-1.3865710111576512,8.875583646495487e-06,8.871544710615498e-06,0.0005442682957179685,0.019231949818975268,1.1866496746857987e-07,0.0009768281288195354,5.626566732137026e-07,0.0009724273897870714
2019-11-27,66,2019-11-27 18:00:00,145,OK,0.011576890324117534,0.481896551724138,0.016956581060667785,0.9757137143040152,-19.999999999999996,9.372156565875855e-06,8.54978559578864e-06,0.0005173241808545515,0.019231949818975268,5.588660187734771e-06,0.0019076362001495108,2.498314717799993e-05,0.0018294443846837362
2019-11-27,72,2019-11-28 00:00:00,146,OK,0.01069863425914374,0.3065068493150685,5.4281519489292795e-18,0.048314276093050015,4.93530501404707,2.4217153797192326e-06,2.3425676036710264e-06,0.00023080981673031498,0.010491851643664812,3.716079684430033e-05,0.000594630307697831,3.521714935109289e-05,0.0006494363093609241
2019-11-27,78,2019-11-28 06:00:00,147,OK,0.00630547601403703,0.15022675736961452,0.006140204758278549,0.2527454709465274,19.999999999999996,1.6900309900517765e-06,1.083332139943265e-06,0.00015585911022091448,0.009050059591424938,3.384346409334453e-05,0.0007464561422029546,2.8291567901336855e-05,0.0007126655561001474
2019-11-27,84,2019-11-28 12:00:00,145,OK,0.008718172231713462,0.07931034482758621,3.4786238648105375e-09,0.12335913408182979,10.471518152855701,1.3021766744836987e-07,5.746778464953816e-08,4.465669414622433e-05,0.007843216406113875,1.928724921730291e-06,0.00011521458792397987,1.252784504639959e-06,0.00010464030837407413
2019-11-27,90,2019-11-28 18:00:00,147,OK,0.004841428058113927,0.02806122448979592,3.5071919303787634e-10,0.1233939448404063,-19.999994107142953,1.1932057650239426e-07,8.868245167947054e-08,1.5370192987686907e-05,0.00414787110330631,1.5307188791440034e-06,2.6758713385674075e-05,1.0242228126371348e-06,2.6463222840213784e-05
2019-11-27,96,2019-11-29 00:00:00,147,OK,0.0019737176055022597,0.0053854875283446705,4.6148997709209716e-15,0.08325213143997742,-19.999998514917582,6.652153159695667e-08,5.267422122188457e-08,9.362526331342902e-06,0.0016702883321017348,1.2569735984149178e-06,2.8829990871568425e-05,1.6532144573488896e-06,5.167446670885169e-05
2019-11-27,102,2019-11-29 06:00:00,144,OK,0.000766550441527343,0.019965277777777776,5.239501535638439e-08,0.035534177684591925,19.9999999873169,3.515611004432323e-08,3.326400606298127e-08,3.706240248095516e-06,0.0010254407938085292,1.9788908511484125e-07,1.8833595377885872e-05,9.89978731215203e-08,1.7917588477536654e-05
2019-11-27,108,2019-11-29 12:00:00,144,OK,0.0007267163349459939,0.07494212962962964,0.00024243974529747172,0.06663006217867082,19.999999999992955,3.421649438686576e-08,3.326773715319867e-08,4.177608505111494e-06,0.0010254407938085292,4.615181815324196e-07,9.360483761559525e-06,2.7306143967737316e-07,7.544184836281849e-06
2019-11-27,114,2019-11-29 18:00:00,143,OK,0.0005334890351325904,0.14714452214452214,0.0006269263213827533,0.2226692072033318,-19.999999997918096,3.102655751572966e-08,3.04620220775738e-08,7.492284294176253e-06,0.0012470828808565215,8.295743739181023e-08,1.8946142284772087e-05,3.477603597336298e-08,1.6329133357558533e-05
2019-11-27,120,2019-11-30 00:00:00,134,OK,0.00035023467694313967,0.22388059701492535,0.0009383368984088428,0.4761400530335361,19.999996359877215,4.8716664890397756e-08,4.8649782450160006e-08,7.66523022607336e-06,0.001329120130773616,6.375362320664314e-09,1.8025437507532045e-05,5.624122339398018e-08,1.7530071931241982e-05
2019-11-27,126,2019-11-30 06:00:00,133,OK,0.00014325785486180584,0.29104010025062654,0.0009195204953388631,0.515029473672553,5.788650027229667,5.6064659463580834e-08,5.604790442600142e-08,9.30342387594386e-06,0.0013391135152155229,2.1487060959291063e-08,1.7016204229763873e-05,-7.267269925245646e-08,1.3334255722405856e-05
2019-11-27,132,2019-11-30 12:00:00,149,OK,0.0004409426742787965,0.308165548098434,0.0022234292809246376,0.9999999999999748,-19.999999999999996,2.9265743145720724e-07,2.9211002024349604e-07,4.490675663154124e-05,0.0026027238784519314,2.581808209771698e-07,6.746792928394668e-05,-1.6704603283149742e-07,4.444621272149443e-05
2019-11-27,138,2019-11-30 18:00:00,149,OK,0.00041164069490622383,0.34116331096196867,0.00011420070220885554,8.438607981026324e-11,-2.8321291793282444,2.5544207847681114e-07,2.553703825084582e-07,5.884310291302951e-05,0.0026027238784519314,2.0556290525452057e-06,0.00028715441694794505,2.426179054411332e-07,0.00021534122500305305
2019-11-27,144,2019-12-01 00:00:00,150,OK,0.00018291680537897324,0.36861111111111117,0.002233974544173653,0.9999999999993795,-19.999999999999996,3.352320081519114e-07,3.333937792993926e-07,5.4207860621359135e-05,0.0025858020810870593,8.218286780574821e-07,0.00012715357410390555,-3.557268983338055e-08,0.00014283858851542062
2020-02-06,24,2020-02-05 00:00:00,58,OK,0.00042784717825413685,0.18965517241379307,0.0004939052137810775,0.06510916539450669,-18.274470586594045,3.065709655741039e-07,3.0633087545885846e-07,3.361776896759328e-05,0.003290686469079787,8.500455198563379e-09,8.502210703755804e-05,-1.0553434590629283e-06,8.0192136709604e-05
2020-02-06,30,2020-02-05 06:00:00,58,OK,9.714411132023014e-05,0.29525862068965514,0.0010152383519343483,0.11455225679472614,-6.993643213840672,8.731180480341337e-07,8.718844466159732e-07,6.948958361818461e-05,0.00458312202672212,4.439943788182066e-08,0.00019039529115568178,-2.6742394093368246e-06,0.00017217443907067008
2020-02-06,36,2020-02-05 12:00:00,61,OK,0.00313867174395055,0.40095628415300544,0.0024741412730929745,0.48804357278822674,-19.999999999996195,8.943603354293061e-07,8.754774460626251e-07,8.397392655929644e-05,0.004357934157486811,1.287777318172539e-06,0.00023833715522386277,-3.5451580871473796e-06,0.00027660031944101894
2020-02-06,42,2020-02-05 18:00:00,64,OK,0.0006799335467482163,0.5553385416666666,0.0010903953482723112,0.06096760466886509,-5.196685100455768,2.7528901881415285e-06,2.7442052252212515e-06,0.00042593503677196,0.010887465019102038,1.8448195151289452e-07,0.0008131008058812402,-4.426694986628668e-06,0.000553154727121958
