event,population,model,seed,lead_h,mse
2018-01-16,affected,ASYM,9203,17,0.00025325238468616517
2018-01-16,affected,ASYM,9203,18,0.00026634456623097325
2018-01-16,affected,ASYM,9203,19,0.0003624204300799289
2018-01-16,affected,ASYM,9203,20,0.0003371380534832691
2018-01-16,affected,ASYM,9203,21,0.0002893637259077987
2018-01-16,affected,ASYM,9203,22,0.00021372322857301457
2018-01-16,affected,ASYM,9203,23,0.00021076229924428265
2018-01-16,affected,ASYM,9203,24,0.00022441608481379101
2018-01-16,affected,ASYM,9204,1,8.619570827958874e-05
2018-01-16,affected,ASYM,9204,2,0.00013694189384627295
2018-01-16,affected,ASYM,9204,3,0.00013023898434226403
2018-01-16,affected,ASYM,9204,4,0.00016038497377192409
2018-01-16,affected,ASYM,9204,5,0.00018751690287534462
2018-01-16,affected,ASYM,9204,6,0.0002279075771918949
2018-01-16,affected,ASYM,9204,7,0.0002668318203394633
2018-01-16,affected,ASYM,9204,8,0.00024960600863596
2018-01-16,affected,ASYM,9204,9,0.00024316754136848801
2018-01-16,affected,ASYM,9204,10,0.00020631816003556825
2018-01-16,affected,ASYM,9204,11,0.00019800597927473098
2018-01-16,affected,ASYM,9204,12,0.00020947018952001886
2018-01-16,affected,ASYM,9204,13,0.00028862593444902845
2018-01-16,affected,ASYM,9204,14,0.00025477892357707305
2018-01-16,affected,ASYM,9204,15,0.00023417463713765272
2018-01-16,affected,ASYM,9204,16,0.0001996623776116594
2018-01-16,affected,ASYM,9204,17,0.0002112658274339258
2018-01-16,affected,ASYM,9204,18,0.00022344890005878443
2018-01-16,affected,ASYM,9204,19,0.00033448413876747263
2018-01-16,affected,ASYM,9204,20,0.0003011374050771368
2018-01-16,affected,ASYM,9204,21,0.0002526587340873347
