job,stage,update,validation,selected,examples,gn_head_a,gn_head_b,gn_hold,gn_occ,gn_bkg,gn_rec,train_loss
2022-03-12|asym_one_flow|interruption_ray_start,B,400,0.0004571426350613841,True,,1.4639573931138478e-11,1.4639573931138478e-11,0.0,2.6529606260184223e-11,1.511336659908166e-11,0.00010987862744716375,0.0009432638411794869
2022-03-12|asym_one_flow|interruption_ray_start,B,600,0.00045739038428739364,False,,2.6540278187580173e-12,2.6540278187580173e-12,0.0,3.7512448719231745e-12,1.2696748551003403e-12,2.897979111339928e-10,0.00012519960134227404
2022-03-12|asym_one_flow|interruption_ray_start,B,800,0.0004574070324800723,False,,4.79761912821948e-13,4.79761912821948e-13,0.0,3.0896213855057737e-12,1.881392264102155e-12,2.1589408066538302e-10,8.085228773779818e-05
2022-03-12|asym_one_flow|interruption_ray_start,B,1000,0.0004573640325541509,False,,5.4034124819321947e-11,5.4034124819321947e-11,0.0,5.998855084760165e-11,2.951626040187641e-11,9.250320757096662e-05,0.0017357541187266179
2022-03-12|asym_one_flow|interruption_ray_start,B,1200,0.00045702961285981516,True,,5.148282061166843e-12,5.148282061166843e-12,0.0,1.1760824932751471e-11,6.98045838725349e-12,3.429296276863525e-05,0.00029980568371001937
2022-03-12|asym_one_flow|interruption_ray_start,B,1400,0.00045672770553578017,True,,2.6885023620070332e-11,2.6885023620070332e-11,0.0,4.1717809619784404e-11,1.5356022849304712e-11,9.35079861042343e-06,0.0009477033800067147
2022-03-12|asym_one_flow|interruption_ray_start,B,1600,0.00045655149847833654,True,,9.010524849000712e-12,9.010524849000712e-12,0.0,3.1228733564667113e-11,1.8793312613461353e-11,7.706050926954831e-10,0.000297302204899097
2022-03-12|asym_one_flow|interruption_ray_start,B,1800,0.0004563112923235479,True,,9.051169648882843e-12,9.051169648882843e-12,0.0,1.1710299114222757e-11,6.508686692662586e-12,2.7740588097865634e-07,0.0001857629746382372
2022-03-12|asym_one_flow|interruption_ray_start,B,2000,0.00045623004403318976,True,,5.804680673249113e-11,5.804680673249113e-11,0.0,6.297995974369676e-11,2.5507121479131975e-11,0.0005384423920034118,0.0015139693423407152
2022-03-12|asym_one_flow|interruption_ray_start,B,2200,0.0004560321345047345,True,,6.802190049878833e-11,6.802190049878833e-11,0.0,7.915134809156667e-11,2.7574112060416112e-11,0.0005228703967201109,0.0018994171914528124
2022-03-12|asym_one_flow|interruption_ray_start,B,2400,0.0004559512204748424,True,,9.047202999856297e-13,9.047202999856297e-13,0.0,2.735126624229237e-12,2.1966402384131383e-12,1.828432432065909e-11,0.0001400836981702014
2022-03-12|asym_one_flow|interruption_ray_start,B,2600,0.00045594378590164297,True,,6.80336859792852e-14,6.80336859792852e-14,0.0,3.283025687988627e-12,2.059591868489189e-12,2.741487297526942e-09,6.656515461145318e-05
2022-03-12|asym_one_flow|interruption_ray_start,B,2800,0.00045570872832287405,True,,1.2993604301358407e-11,1.2993604301358407e-11,0.0,2.997194903095276e-11,1.8307927013937345e-11,3.4875644410638176e-11,0.0001889319706265269
