variant,model,seed,event,lead_h,mse
raw,NET,8201,2024-05-08,18,0.0006120565361291435
raw,NET,8201,2024-05-08,19,0.0006974669268441629
raw,NET,8201,2024-05-08,20,0.0006896272508374019
raw,NET,8201,2024-05-08,21,0.0007348659946248911
raw,NET,8201,2024-05-08,22,0.0007158678188255028
raw,NET,8201,2024-05-08,23,0.0007131368399331613
raw,NET,8201,2024-05-08,24,0.0007677487293612765
raw,NET,8201,2024-05-26,1,0.0005169922462405326
raw,NET,8201,2024-05-26,2,0.0010425150652023677
raw,NET,8201,2024-05-26,3,0.0015051148915554158
raw,NET,8201,2024-05-26,4,0.0019876431832507955
raw,NET,8201,2024-05-26,5,0.002387068363313776
raw,NET,8201,2024-05-26,6,0.002524332646710614
raw,NET,8201,2024-05-26,7,0.0025806439314624875
raw,NET,8201,2024-05-26,8,0.002808554676735586
raw,NET,8201,2024-05-26,9,0.002925503524607198
raw,NET,8201,2024-05-26,10,0.003231551307684624
raw,NET,8201,2024-05-26,11,0.0034792083192807612
raw,NET,8201,2024-05-26,12,0.003483163766851964
raw,NET,8201,2024-05-26,13,0.0035059683978092148
raw,NET,8201,2024-05-26,14,0.0036181039052920597
raw,NET,8201,2024-05-26,15,0.0036751289455699094
raw,NET,8201,2024-05-26,16,0.003994222598098926
raw,NET,8201,2024-05-26,17,0.004261199609726055
raw,NET,8201,2024-05-26,18,0.004335523025080745
raw,NET,8201,2024-05-26,19,0.004329685320500977
raw,NET,8201,2024-05-26,20,0.004375453257491147
raw,NET,8201,2024-05-26,21,0.004520688027588825
raw,NET,8201,2024-05-26,22,0.004834286663366857
raw,NET,8201,2024-05-26,23,0.005078194255305463
raw,NET,8201,2024-05-26,24,0.00513985504033709
raw,NET,8201,2024-06-26,1,0.0001801098313904888
raw,NET,8201,2024-06-26,2,0.00015855912362204648
raw,NET,8201,2024-06-26,3,0.00022545914549029598
raw,NET,8201,2024-06-26,4,0.00022531538726448783
raw,NET,8201,2024-06-26,5,0.0002993493088441815
raw,NET,8201,2024-06-26,6,0.00039321516007050767
raw,NET,8201,2024-06-26,7,0.0003145878755068106
raw,NET,8201,2024-06-26,8,0.0003341802871571306
raw,NET,8201,2024-06-26,9,0.0003641663844799838
raw,NET,8201,2024-06-26,10,0.0003510690481685433
raw,NET,8201,2024-06-26,11,0.00035478665043185833
raw,NET,8201,2024-06-26,12,0.00044973882461029615
raw,NET,8201,2024-06-26,13,0.0003516898655140302
raw,NET,8201,2024-06-26,14,0.00036540792662818965
raw,NET,8201,2024-06-26,15,0.0003834212656569783
raw,NET,8201,2024-06-26,16,0.0003594218129453887
raw,NET,8201,2024-06-26,17,0.00036370457808410024
raw,NET,8201,2024-06-26,18,0.00045637670658520813
raw,NET,8201,2024-06-26,19,0.0003553141409395449
raw,NET,8201,2024-06-26,20,0.0003662636248907162
raw,NET,8201,2024-06-26,21,0.0003836541228149386
raw,NET,8201,2024-06-26,22,0.00036566680804983484
raw,NET,8201,2024-06-26,23,0.00036602621282556694
raw,NET,8201,2024-06-26,24,0.0004684383397169292
raw,NET,8201,2024-09-27,1,0.0009295567201360252
raw,NET,8201,2024-09-27,2,0.002055671480484514
raw,NET,8201,2024-09-27,3,0.0034138669838309566
raw,NET,8201,2024-09-27,4,0.00452553921293753
raw,NET,8201,2024-09-27,5,0.005767239089979031
raw,NET,8201,2024-09-27,6,0.006497497336076024
raw,NET,8201,2024-09-27,7,0.007024903243252993
raw,NET,8201,2024-09-27,8,0.007541726157628586
raw,NET,8201,2024-09-27,9,0.008248434704813096
raw,NET,8201,2024-09-27,10,0.008813244545293218
raw,NET,8201,2024-09-27,11,0.009316946945312411
raw,NET,8201,2024-09-27,12,0.0097631093490784
raw,NET,8201,2024-09-27,13,0.009903594620204513
raw,NET,8201,2024-09-27,14,0.009948386804797234
raw,NET,8201,2024-09-27,15,0.010382625418213562
raw,NET,8201,2024-09-27,16,0.010708805750118122
raw,NET,8201,2024-09-27,17,0.011336441789340198
raw,NET,8201,2024-09-27,18,0.011685051229805158
raw,NET,8201,2024-09-27,19,0.011868564987559865
raw,NET,8201,2024-09-27,20,0.01203561326042182
raw,NET,8201,2024-09-27,21,0.012893761553580864
raw,NET,8201,2024-09-27,22,0.013393407117271851
raw,NET,8201,2024-09-27,23,0.014276440121928472
raw,NET,8201,2024-09-27,24,0.014703256241645086
raw,NET,8202,2024-01-09,1,0.0002769822009677812
raw,NET,8202,2024-01-09,2,0.00031259963997729506
raw,NET,8202,2024-01-09,3,0.00038064048601255113
raw,NET,8202,2024-01-09,4,0.0005611948950113503
raw,NET,8202,2024-01-09,5,0.0005836784585907691
raw,NET,8202,2024-01-09,6,0.0006307509481275857
raw,NET,8202,2024-01-09,7,0.0005793371626137277
