variant,model,seed,group,company,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction
raw,NET,5104.0,42,2,0.00018443254399524962,0.00012633652901694123,0.0001804277264017544,0.00019913293109398878,0.00036146161934805465
raw,NET,5104.0,46,2,0.00022135789530892958,0.00011288238097890125,0.00020800421765475516,0.0002480330329299461,0.0009365141955835962
raw,NET,5104.0,117,3,4.214349334520509e-05,3.5946652514417354e-05,4.158797614577226e-05,4.34495779115639e-05,0.023117113564668768
raw,NET,5104.0,199,4,1.6235163535155435e-05,1.3582430268745197e-05,1.5521259664285068e-05,1.6827303753567245e-05,0.01072336137399229
raw,NET,5104.0,250,4,5.4827596146557675e-06,2.7505305348703435e-06,5.7472519662955345e-06,5.44976052819289e-06,0.07790593235191028
raw,NET,5104.0,492,7,0.001182017159238771,0.000692161410163733,0.001207327783843324,0.0012204394621797335,0.0039486943568173855
raw,NET,5104.0,1087,22,3.628106309810242e-05,2.8329217425336578e-05,3.684427287407633e-05,3.621913986512352e-05,0.034831756046267086
raw,NET,5104.0,1113,22,4.8426865778253804e-05,4.0659645169351135e-05,4.95256292702768e-05,4.534152841763566e-05,0.0599423852085524
raw,NET,5104.0,1219,23,1.0898511568285191e-05,7.0041999721619155e-06,1.0657368335222848e-05,1.1140936397078162e-05,0.19867245005257625
raw,NET,5104.0,1231,23,2.4991063568800263e-05,1.2834653015563266e-05,2.490203557502036e-05,2.6423300131296163e-05,0.1258488871363477
raw,NET,5104.0,1319,25,0.0006087852800548797,0.00038102246509139477,0.0006058592509347256,0.0006348418572994299,0.002535708026638626
raw,NET,5104.0,1348,25,0.00032199287278462854,0.00026698748090361884,0.00032744372853480563,0.0003236487835066695,0.004709954433929197
raw,NET,5104.0,1389,26,5.197870116043785e-05,2.7215958283349214e-05,5.0922107052808266e-05,5.6478212895742306e-05,0.012158254468980022
raw,NET,5104.0,1498,27,0.00010430263437783682,4.711023900023377e-05,9.761233622178303e-05,0.00012040871305614762,0.05852939887837364
raw,NET,5104.0,1603,28,2.3530271111459224e-05,1.1612348948071422e-05,2.2278062562092052e-05,2.675923608695752e-05,0.12975376796354715
raw,NET,5104.0,1635,28,3.2440991994434826e-05,1.905273666404353e-05,3.0062249573515894e-05,3.673688580512996e-05,0.09978531370487206
raw,NET,5104.0,1926,36,0.00013112640525558342,6.20109105925993e-05,0.0001301439107446016,0.00014202886386961442,0.002448080967402734
raw,NET,5104.0,1962,37,1.815157254636058e-05,1.4987027799231457e-05,2.0085885075100763e-05,1.5927404049138174e-05,0.13562478093235192
raw,NET,5104.0,2001,37,0.00010832742593475967,0.00011351145470503575,0.00010718983791130265,0.00010906710723872264,0.07980086750788644
raw,NET,5104.0,2055,38,0.0002372437951208759,0.00022153019119506532,0.0002345291142737114,0.00024409517205194935,0.005646468629512793
raw,NET,5104.0,2075,38,7.5115848607204e-05,5.4855126162912334e-05,7.404181718120076e-05,7.872816446665818e-05,0.006046267087276551
raw,NET,5104.0,2242,41,5.054343304720098e-05,2.9235891080892396e-05,4.907193822522148e-05,5.555254870906796e-05,0.04593300911321416
raw,NET,5104.0,2512,42,0.00011791520195555784,8.211131755143082e-05,0.0001207261525699992,0.00011699004459665772,0.0433425341745531
raw,NET,5104.0,2543,43,4.748011885030504e-05,3.559048432047939e-05,4.848438748991459e-05,4.765229480881739e-05,0.15985366281107605
raw,NET,5105.0,42,2,0.00018424079814818048,0.0001304142953332092,0.00018225001495805428,0.00019714121012386637,0.00034503154574132494
raw,NET,5105.0,46,2,0.00021956511222183316,0.00011438497131056577,0.00020880540504632637,0.00024429558424699253,0.0011391517700665966
