variant,seed,group,company,NET_mse_path,NET_mse_1h,NET_mse_6h,NET_mse_24h,NET_out_of_bounds_fraction,ASYM_mse_path,ASYM_mse_1h,ASYM_mse_6h,ASYM_mse_24h,ASYM_out_of_bounds_fraction,delta_mse_path,delta_mse_1h,delta_mse_6h,delta_mse_24h,delta_out_of_bounds_fraction
raw,5102.0,1603,28,2.268314459795565e-05,1.1429811133549402e-05,2.0855137894977046e-05,2.6293604145507917e-05,0.10158166841920785,2.320239271680953e-05,1.1151327573666789e-05,2.202755680470822e-05,2.6215254148271095e-05,0.0,-5.192481188538824e-07,2.784835598826127e-07,-1.1724189097311748e-06,7.834999723682168e-08,0.10158166841920785
raw,5102.0,1635,28,3.196843042577117e-05,1.9210749473370698e-05,2.8904457267392645e-05,3.662438332599384e-05,0.004425166491412548,3.1890681370301e-05,1.8670633268397416e-05,2.9309592832554602e-05,3.616681291053206e-05,0.0,7.774905547017007e-08,5.401162049732816e-07,-4.0513556516195767e-07,4.5757041546177823e-07,0.004425166491412548
raw,5102.0,1926,36,0.00013094010182079796,6.179196136812231e-05,0.00012999160223886773,0.00014260571230882753,0.005865536277602524,0.00013157642352307653,6.158219733739813e-05,0.00013204194043005024,0.00014261233046267006,0.0,-6.363217022785708e-07,2.0976403072418294e-07,-2.0503381911825193e-06,-6.618153842525209e-09,0.005865536277602524
raw,5102.0,1962,37,1.795522194927953e-05,1.5462462000878525e-05,1.9776425967022338e-05,1.623513382071112e-05,0.03320517875920084,1.732405099416786e-05,1.5251766296837933e-05,1.8900839579659324e-05,1.5253117250923871e-05,0.0,6.311709551116675e-07,2.1069570404059155e-07,8.755863873630142e-07,9.820165697872497e-07,0.03320517875920084
raw,5102.0,2001,37,0.00010812940973413481,0.00011987838461908142,0.000106443972893609,0.00010861774942266431,0.04189121100595864,0.0001065300366600939,0.00010379075786822859,0.00010598299352272495,0.00010782086864783546,0.0,1.5993730740409081e-06,1.6087626750852833e-05,4.6097937088405234e-07,7.968807748288546e-07,0.04189121100595864
raw,5102.0,2055,38,0.0002369953817093917,0.0002309444974035592,0.00023244028698736694,0.00024312382485384163,0.011867989835261128,0.00023690478894883207,0.0002239693802536299,0.0002340801248030039,0.00024204437656611785,0.0,9.05927605596385e-08,6.975117149929291e-06,-1.639837815636965e-06,1.0794482877237767e-06,0.011867989835261128
raw,5102.0,2075,38,7.397626522802909e-05,5.6268168444609603e-05,7.355317575452011e-05,7.76594638928464e-05,0.01532378198387662,7.424835603837893e-05,5.4484035213542506e-05,7.41779863277801e-05,7.728382844541187e-05,0.0,-2.720908103498405e-07,1.7841332310670972e-06,-6.248105732599879e-07,3.756354474345353e-07,0.01532378198387662
raw,5102.0,2242,41,4.9947674310643674e-05,2.976281317941897e-05,4.865480606843915e-05,5.465939539908123e-05,0.017755432877672624,5.011033054477466e-05,2.9875693478458764e-05,4.892991183334187e-05,5.456141126904696e-05,0.0,-1.6265623413098306e-07,-1.1288029903979362e-07,-2.7510576490272226e-07,9.798413003426966e-08,0.017755432877672624
raw,5102.0,2512,42,0.00011830175997572678,8.24534660187425e-05,0.00012079310358219861,0.00011712951225138044,0.014086049772169646,0.00011801106689533009,8.6581591407306e-05,0.00012076173854634591,0.00011586913713160365,0.0,2.9069308039668916e-07,-4.128125388563504e-06,3.136503585270101e-08,1.2603751197767918e-06,0.014086049772169646
raw,5102.0,2543,43,4.710800893809e-05,3.643462816821893e-05,4.767774098607869e-05,4.737316114446315e-05,0.04987075008762706,4.686971859735247e-05,3.6843368408851826e-05,4.7564800950266215e-05,4.6857097249866026e-05,0.0,2.382903407375294e-07,-4.087402406328965e-07,1.129400358124781e-07,5.160638945971257e-07,0.04987075008762706
