fips,event,n_events
20161,2021-12-15,1
20163,2021-12-15,1
20169,2021-12-15,1
20171,2021-12-15,1
20173,2021-12-15,1
20175,2021-12-15,1
20179,2021-12-15,1
20181,2021-12-15,1
20183,2021-12-15,1
20185,2021-12-15,1
20191,2021-12-15,1
20193,2021-12-15,1
20195,2021-12-15,1
20197,2021-12-15,1
20199,2021-12-15,1
20201,2021-12-15,1
20203,2021-12-15,1
20205,2021-12-15,1
20209,2021-02-15;2021-12-15,2
21003,2018-01-16;2021-02-15;2022-03-12;2024-05-26,4
21007,2019-02-24;2019-11-27;2021-02-15;2024-01-12;2024-05-26;2024-09-27,6
21039,2019-02-20;2019-02-24;2019-11-27;2021-02-15;2024-01-12;2024-05-08;2024-05-26;2024-09-27,8
21041,2024-05-26;2024-09-27,2
21053,2018-01-16;2019-02-24;2021-02-15;2022-03-12;2024-05-26,5
21059,2019-02-24;2019-11-27;2021-02-15;2024-01-12;2024-05-26;2024-06-26,6
21065,2018-01-16;2019-02-20;2019-11-27;2022-01-16;2022-03-12;2024-05-26;2024-09-27,7
21077,2022-01-16;2024-05-26;2024-09-27,3
21081,2021-02-15;2022-01-16;2024-05-26;2024-09-27,4
21101,2019-02-20;2019-02-24;2019-11-27;2021-02-15;2024-01-12;2024-05-08;2024-09-27,7
21103,2018-01-16;2021-02-15;2024-05-26,3
21123,2018-01-16;2019-02-24;2021-02-15;2022-03-12;2024-05-26,5
21139,2019-02-24;2019-11-27;2021-02-15;2024-01-12;2024-05-08,5
21163,2018-01-16;2019-02-20;2021-02-15;2024-05-26,4
21185,2018-01-16;2021-02-15;2024-05-26;2024-09-27,4
21187,2024-05-26;2024-09-27,2
21191,2021-02-15;2024-09-27,2
21193,2018-01-16;2019-02-20;2020-02-06;2021-02-15;2022-03-12;2024-05-26;2024-09-27,7
21201,2024-09-27,1
21223,2021-02-15;2024-09-27,2
21229,2018-01-16;2021-02-15;2022-03-12;2024-09-27,4
22003,2018-01-16;2021-02-15,2
22005,2020-02-06,1
22009,2018-01-16;2021-02-15,2
22011,2018-01-16;2021-02-15;2024-01-09,3
22023,2018-01-16;2021-02-15,2
22033,2018-01-16;2020-02-06,2
22037,2018-01-16,1
22039,2018-01-16;2021-02-15,2
22055,2018-01-16;2021-02-15,2
22061,2018-01-16;2022-03-12;2024-06-26,3
22063,2020-02-06,1
22077,2018-01-16,1
22079,2018-01-16,1
22081,2018-01-16;2022-03-12;2024-06-26,3
22087,2024-01-09,1
22089,2022-03-12,1
22091,2018-01-16,1
22097,2018-01-16;2021-02-15,2
22099,2018-01-16;2021-02-15,2
22105,2018-01-16,1
22115,2018-01-16;2021-02-15,2
22121,2018-01-16,1
22125,2018-01-16,1
23001,2020-08-04,1
23005,2020-08-04,1
23007,2020-08-04;2022-03-12,2
23009,2020-02-06,1
23017,2020-02-06;2020-08-04;2022-03-12,3
23019,2019-02-24;2020-02-06,2
23021,2019-02-24;2020-02-06;2022-03-12,3
23023,2020-08-04,1
23027,2020-08-04,1
23029,2020-02-06,1
23031,2020-08-04,1
24009,2019-02-20;2020-08-04;2024-06-26,3
24011,2020-08-04;2022-01-16,2
24033,2019-02-20;2020-08-04,2
24035,2020-08-04,1
24039,2020-08-04;2024-06-26,2
24041,2020-08-04,1
25001,2020-08-04;2024-05-08,2
25003,2018-01-16;2020-02-06;2020-08-04;2022-03-12,4
25005,2020-08-04;2024-05-08,2
25009,2020-08-04,1
25011,2020-08-04,1
25013,2020-08-04;2024-05-08,2
25015,2020-08-04,1
25017,2020-08-04,1
25021,2018-10-11;2020-08-04,2
25023,2020-08-04;2024-05-08,2
25025,2020-08-04,1
25027,2018-10-11;2020-08-04;2024-05-08,3
26001,2024-01-12,1
26003,2019-02-20;2019-02-24;2019-11-27;2024-01-12,4
26013,2019-02-20;2019-02-24;2019-11-27,3
26015,2019-02-24;2024-01-12;2024-05-26,3
26035,2019-02-24;2024-01-12,2
26045,2019-02-24;2024-01-12,2
26047,2019-02-24,1
26053,2019-02-20;2019-02-24;2019-11-27;2024-01-12,4
26057,2019-02-24;2024-01-12,2
26069,2019-02-24;2024-01-12,2
26071,2019-02-20;2019-02-24;2019-11-27;2024-01-12,4
26083,2019-02-20;2019-02-24;2024-01-12,3
26085,2019-02-24;2024-01-12,2
26087,2019-02-24;2024-01-12,2
26095,2019-02-20;2019-02-24;2019-11-27,3
26101,2019-02-24,1
26103,2019-02-20;2019-02-24;2019-11-27;2022-01-16;2024-01-12,5
26107,2019-02-24;2024-01-12,2
26109,2019-02-20;2019-02-24;2024-01-12,3
26111,2019-02-24;2024-01-12,2
26113,2019-02-24,1
26121,2019-02-24;2024-01-12,2
26123,2019-02-24;2024-01-12,2
26131,2018-01-16;2019-02-20;2019-02-24;2019-11-27;2024-01-12,5
26133,2019-02-24;2024-01-12,2
26139,2019-02-24;2024-01-12,2
26141,2024-01-12,1
26143,2019-02-24,1
26147,2019-02-24;2019-11-27;2024-05-08,3
26151,2019-02-24,1
26153,2019-02-20;2019-02-24;2019-11-27;2024-01-12,4
26157,2019-02-24,1
26165,2019-02-24,1
27001,2019-11-27;2021-02-15,2
27003,2019-02-20;2019-11-27,2
27005,2019-02-24;2021-12-15,2
27009,2019-02-20;2019-11-27;2021-02-15,3
27011,2019-02-20;2019-02-24;2021-12-15,3
27015,2019-02-20;2019-02-24;2021-02-15;2024-01-12,4
27017,2019-02-20;2019-11-27;2021-02-15,3
27025,2019-02-20;2019-11-27;2021-02-15,3
27027,2019-02-24,1
27029,2019-02-24;2021-12-15,2
27031,2019-11-27;2021-02-15;2024-01-12,3
27037,2019-02-20;2019-02-24;2019-11-27;2024-01-12,4
27041,2018-01-16,1
27047,2019-02-24;2021-02-15;2024-01-12,3
27051,2019-02-24;2021-12-15,2
27057,2021-12-15,1
27059,2019-02-20;2019-11-27;2021-02-15,3
27061,2021-02-15,1
27063,2024-01-12,1
27065,2019-11-27;2021-02-15,2
27067,2019-02-20;2019-02-24;2019-11-27;2021-02-15,4
27069,2019-02-24,1
27071,2021-02-15,1
27073,2019-02-24;2021-02-15,2
27075,2019-02-20;2021-02-15,2
27087,2019-02-24;2021-12-15,2
27089,2019-02-24,1
27093,2019-02-20;2019-02-24;2019-11-27;2021-02-15,4
27095,2019-02-20;2019-11-27;2021-02-15,3
27097,2021-02-15,1
27105,2024-01-12,1
27107,2019-02-24,1
27111,2019-02-24;2021-12-15,2
27113,2019-02-24,1
27115,2019-02-20;2021-02-15,2
27121,2018-01-16;2021-02-15,2
27125,2019-02-24,1
27127,2019-02-20;2019-02-24;2021-02-15;2024-01-12,4
27131,2019-02-20;2019-02-24;2019-11-27;2021-02-15;2024-01-12,5
27133,2024-01-12,1
27135,2019-02-24,1
27137,2019-02-20;2019-11-27;2021-02-15,3
27141,2019-02-20;2019-11-27;2021-02-15,3
27145,2019-02-20;2019-11-27;2021-02-15,3
27149,2019-02-24,1
27151,2019-02-20;2019-02-24;2021-02-15,3
27153,2021-02-15,1
27155,2019-02-20;2019-02-24;2021-12-15,3
27157,2019-02-20;2019-02-24;2019-11-27;2024-01-12,4
27159,2021-12-15,1
27161,2019-02-20;2019-02-24;2021-02-15;2024-01-12,4
27165,2019-02-20;2019-02-24;2021-02-15;2024-01-12,4
27167,2019-02-24,1
27171,2019-02-20;2019-11-27;2021-02-15,3
27173,2019-02-20;2019-02-24;2021-02-15,3
28013,2019-02-20;2022-03-12,2
28031,2020-02-06;2021-02-15,2
28035,2021-02-15;2024-01-09,2
28039,2020-10-29;2024-01-09,2
28041,2020-10-29,1
28045,2024-01-09,1
28047,2024-01-09,1
28063,2019-11-27,1
