model,seed,company,mse_path,mse_1h,mse_6h,mse_24h,oob
ASYM_STEP_ONLY,5103,42,0.00011780211513546779,8.340561794518511e-05,0.0001206557447648257,0.0001159979744902905,0.0
ASYM_STEP_ONLY,5103,43,4.677948513520196e-05,3.670403952331038e-05,4.742834360558751e-05,4.6894444169637826e-05,0.0
ASYM_STEP_ONLY,5104,2,0.00020438163830890704,0.00012130622586655434,0.00019819743979135947,0.0002213536001992475,0.0
ASYM_STEP_ONLY,5104,3,4.119160268124349e-05,3.611180614364129e-05,4.102182559692852e-05,4.2370283970710644e-05,0.0
ASYM_STEP_ONLY,5104,4,1.1373120896679987e-05,8.718346679084542e-06,1.1361038950493154e-05,1.1985889331692942e-05,0.0
ASYM_STEP_ONLY,5104,7,0.0011799584194447164,0.0007385537020962076,0.001219921485550675,0.0012106029055224937,0.0
ASYM_STEP_ONLY,5104,22,4.19088580657521e-05,3.401790505718341e-05,4.2610956806976666e-05,4.0405874280006264e-05,0.0
ASYM_STEP_ONLY,5104,23,1.7813965180375365e-05,1.0263491731030216e-05,1.7660127545691643e-05,1.8944701859156602e-05,0.0
ASYM_STEP_ONLY,5104,25,0.00046312800974605866,0.00032246586630573014,0.00046439179394255735,0.00047832314044304967,0.0
ASYM_STEP_ONLY,5104,26,5.1452865634692305e-05,2.983702374320486e-05,5.0167006303534655e-05,5.552897287153335e-05,0.0
ASYM_STEP_ONLY,5104,27,0.00010258412064395697,4.754577021502745e-05,9.74079021995434e-05,0.00011551027047786177,0.0
ASYM_STEP_ONLY,5104,28,2.7999798973302795e-05,1.579784176054037e-05,2.6742782433448143e-05,3.118193043143476e-05,0.0
ASYM_STEP_ONLY,5104,36,0.00013220664832972349,6.324364061015287e-05,0.00013175232491685187,0.00014298592225657562,0.0
ASYM_STEP_ONLY,5104,37,6.212577676755051e-05,6.139831905967505e-05,6.281928394954704e-05,6.138801369183733e-05,0.0
ASYM_STEP_ONLY,5104,38,0.00015522926788479914,0.00012843219231845025,0.0001543326051097881,0.00016027038041644307,0.0
ASYM_STEP_ONLY,5104,41,4.9954060432577206e-05,2.9863408190671695e-05,4.890280696408817e-05,5.3971498203288617e-05,0.0
ASYM_STEP_ONLY,5104,42,0.00011792502410255503,8.355747296912553e-05,0.00012066614909270263,0.00011597985320756471,0.0
ASYM_STEP_ONLY,5104,43,4.6863376320463806e-05,3.7034805091565766e-05,4.7445707365706696e-05,4.698421785281916e-05,0.0
ASYM_STEP_ONLY,5105,2,0.00020586122834894132,0.00012141171212875067,0.00020020665670812795,0.0002238861431511473,0.0
ASYM_STEP_ONLY,5105,3,4.118508578465829e-05,3.657424939650122e-05,4.104516802678125e-05,4.2293411010569786e-05,0.0
ASYM_STEP_ONLY,5105,4,1.131052850023199e-05,8.578308278650406e-06,1.1217558759707446e-05,1.1833828807632967e-05,0.0
ASYM_STEP_ONLY,5105,7,0.0011784729720042222,0.0007128407920774342,0.0012178846521331624,0.001210649175008143,0.0
ASYM_STEP_ONLY,5105,22,4.184295692579758e-05,3.4156499096515164e-05,4.264389617229847e-05,4.023377396834992e-05,0.0
ASYM_STEP_ONLY,5105,23,1.8010589228615216e-05,1.030164630352719e-05,1.7888054180153926e-05,1.909157919936986e-05,0.0
ASYM_STEP_ONLY,5105,25,0.0004644235684002216,0.00032125349446161545,0.000467958994397885,0.0004767796116647938,0.0
ASYM_STEP_ONLY,5105,26,5.13486527186804e-05,2.9479806905634425e-05,4.997833256436648e-05,5.5385952080954676e-05,0.0
ASYM_STEP_ONLY,5105,27,0.00010180635558270837,4.672017457799163e-05,9.57604497325423e-05,0.00011514689200188888,0.0
ASYM_STEP_ONLY,5105,28,2.7794586956505716e-05,1.5404904118171677e-05,2.6419688786536947e-05,3.112336116821442e-05,0.0
ASYM_STEP_ONLY,5105,36,0.00013154303819040204,6.377971517884513e-05,0.00012867066878934948,0.0001427217813336202,0.0
ASYM_STEP_ONLY,5105,37,6.212504160482349e-05,6.197087523939155e-05,6.279811146727996e-05,6.128281007180922e-05,0.0
ASYM_STEP_ONLY,5105,38,0.00015535985457531008,0.00012667678233910405,0.0001549020852728974,0.00016044692183283862,0.0
ASYM_STEP_ONLY,5105,41,5.015442343141417e-05,3.0163364218767917e-05,4.9500580504428954e-05,5.3832871908054974e-05,0.0
ASYM_STEP_ONLY,5105,42,0.00011820803531770514,8.502976826635658e-05,0.00012076238134185698,0.00011588211570730252,0.0
ASYM_STEP_ONLY,5105,43,4.69330515226794e-05,3.8535913113460463e-05,4.750176636637968e-05,4.696618940195061e-05,0.0
