seed,fold,unit,event,fips,rmse_own,rmse_donor_median,percentile,donor_sd,rmse_donor_min,rmse_donor_max
0,4,2040,2022-06-08,37125,0.0037898058,0.0037591378204524517,0.985,1.6277794202324003e-05,0.0037424731999635696,0.0037904977798461914
0,4,2048,2022-06-08,39001,0.0153341135,0.015347469598054886,0.32,1.3562996173277497e-05,0.015326135791838169,0.01537123043090105
0,4,2055,2022-06-08,39025,0.016023723,0.016022756695747375,0.645,2.139558773706085e-06,0.016020046547055244,0.01602836698293686
0,4,2061,2022-06-08,39053,0.0020251072,0.001996014267206192,0.785,2.6153711587539874e-05,0.0019660259131342173,0.00205384218133986
0,4,2063,2022-06-08,39059,0.0018563766,0.0018496336415410042,0.545,2.5632754841353744e-05,0.0018212130526080728,0.001901478972285986
0,4,2070,2022-06-08,39107,0.001630461,0.0016468486282974482,0.055,1.8285829355590977e-05,0.0016258431132882833,0.0016848264494910836
0,4,2084,2022-06-08,40021,0.0025085737,0.0025039666797965765,0.605,1.9567251001717523e-05,0.0024748274590820074,0.002542066155001521
0,4,2086,2022-06-08,40039,0.022702131,0.022703755646944046,0.115,2.6812422220245935e-06,0.02270086109638214,0.022711340337991714
0,4,2088,2022-06-08,40057,0.0025788832,0.002591741504147649,0.285,2.8833863325417042e-05,0.0025581098161637783,0.0026511133182793856
0,4,2095,2022-06-08,40107,0.0118159065,0.011914079077541828,0.21,5.9902620705543086e-05,0.011781927198171616,0.011964863166213036
0,4,2100,2022-06-08,40135,0.0024142268,0.0024129312951117754,0.51,1.9572960809455253e-05,0.0023891893215477467,0.0024510473012924194
0,4,2105,2022-06-08,41059,0.0021807598,0.002189457416534424,0.425,4.93953593831975e-05,0.002146380487829447,0.0023061505053192377
0,4,2112,2022-06-08,45035,0.0030134083,0.0030583974439650774,0.095,2.9174727387726307e-05,0.0030086280312389135,0.0031101652421057224
