seed,fold,variant,n_units,mean_dlogit,mean_abs_dlogit,mean_dlogit_h72_95,mean_dlogit_h168_215,mean_dp,max_dp,share_units_dp_gt_1pp,mean_p_open,mean_p_closed
3,4,path from hour 72 (as trained),529,0.012103556655347347,0.02583775669336319,0.005121015943586826,0.011270246468484402,3.732528057298623e-05,0.010695280507206917,0.001890359168241966,0.0014398206258192658,0.0014024954289197922
3,4,path from hour 0,529,-0.002514241961762309,0.005556607153266668,-0.0005578334676101804,-0.003448370611295104,5.766515641880687e-06,0.0021846015006303787,0.0,0.0014611996011808515,0.0014554329682141542
3,5,path from hour 72 (as trained),532,0.002599033759906888,0.005570199340581894,-1.5902040786386351e-06,0.004823912866413593,5.684144070983166e-06,0.004196585156023502,0.0,0.00166169716976583,0.0016560130752623081
3,5,path from hour 0,532,0.00045718869660049677,0.0014007959980517626,4.154214184381999e-05,0.0007752393721602857,2.4444111659249756e-06,0.0009258175268769264,0.0,0.001728535513393581,0.0017260909080505371
4,1,path from hour 72 (as trained),542,-0.05359036102890968,0.05860265716910362,-0.004284081049263477,-0.08911609649658203,2.085845608235104e-06,0.003777400590479374,0.0,0.0014446162385866046,0.0014425305416807532
4,1,path from hour 0,542,-0.019835565239191055,0.025327319279313087,-0.0053095449693500996,-0.029617270454764366,2.361974793529953e-06,0.0010263384319841862,0.0,0.0014796332689002156,0.0014772712020203471
4,2,path from hour 72 (as trained),511,-0.03348153829574585,0.03683767467737198,-0.0017283452907577157,-0.054631248116493225,1.4515850352836424e-06,0.0006975121796131134,0.0,0.0010369464289397001,0.0010354947298765182
4,2,path from hour 0,511,-0.010604831390082836,0.012216662988066673,-0.003475199220702052,-0.017003953456878662,-2.937797773938655e-07,9.268173016607761e-05,0.0,0.0010373092954978347,0.0010376028949394822
4,3,path from hour 72 (as trained),546,0.005518087185919285,0.019295064732432365,0.0006148915854282677,0.0056534879840910435,1.0599991583148949e-05,0.006369123235344887,0.0,0.0014142614090815187,0.0014036615611985326
4,3,path from hour 0,546,-0.002972385613247752,0.007202317472547293,-0.0006657638004980981,-0.005438825115561485,1.5976821714502876e-06,0.00046504195779561996,0.0,0.0013631468173116446,0.0013615492498502135
4,4,path from hour 72 (as trained),529,-0.0016593349864706397,0.006888312753289938,-0.00044530941522680223,-0.0022608856670558453,4.827430529985577e-06,0.005019351840019226,0.0,0.0017033398617058992,0.00169851235114038
4,4,path from hour 0,529,0.0004632183990906924,0.002760681789368391,-0.00021518890571314842,0.0012345090508460999,8.01004352979362e-06,0.005089513957500458,0.0,0.0018460950814187527,0.0018380850087851286
4,5,path from hour 72 (as trained),532,-0.0015545171918347478,0.005844732280820608,-0.00034110932028852403,-0.002442483091726899,1.775806595105678e-05,0.01072598621249199,0.0018796992481203006,0.0015861598076298833,0.0015684016980230808
4,5,path from hour 0,532,0.0002716822491493076,0.002022146014496684,1.3987092643219512e-05,0.0005055356887169182,5.45175635124906e-06,0.00157131627202034,0.0,0.0016882553463801742,0.001682803500443697
