gamma,rho,n,validation_n,design,rule,replications,delta,MC_halfwidth,MC_dof,common_component_difference,NET_excluded_component_error,structural_signal,partition_identity_error,max_ASYM_affine_residual,NET_common_bias_squared,NET_common_variance,ASYM_common_bias_squared,ASYM_common_variance,NET_excluded_bias_squared,NET_excluded_variance,common_bias_difference,common_variance_difference,component_ensemble_partition_error,NET_risk,NET_ensemble_bias_squared,NET_ensemble_variance,NET_oob_fraction,ASYM_risk,ASYM_ensemble_bias_squared,ASYM_ensemble_variance,ASYM_oob_fraction
0.0,0.0,512,128,initial_state_interpolation,original_early_stop,30,6.301211019878134e-07,1.2256253324596509e-06,21.49632106705226,6.077616531702445e-07,2.235944881753814e-08,7.092909402974666e-33,4.396100996249819e-19,4.546116988413118e-08,1.0511076684399178e-06,1.7925645416579909e-06,1.0763283935912438e-06,1.1595821632578998e-06,1.4245180076314994e-08,8.114268741223147e-09,-2.5220725151325923e-08,6.329823784000911e-07,7.848988454084611e-17,2.8660316589154474e-06,1.0653528485162353e-06,1.8006788103992123e-06,0.0,2.235910556927634e-06,1.0763283935928705e-06,1.159582163334764e-06,0.0
0.0,0.0,512,128,initial_state_interpolation,fixed_3000_ablation,30,2.9672847278207437e-06,5.788706558057468e-06,26.681524582544334,2.9602207310810365e-06,7.063996739717617e-09,7.092909402974666e-33,9.283481101907132e-19,4.7734228347806607e-08,6.838749795875438e-07,9.870198335045234e-06,4.19868599312399e-07,7.173983984147338e-06,4.58486242200731e-09,2.479134317710307e-09,2.6400638027514477e-07,2.6962143508978967e-06,9.201573015907641e-17,1.0561137311372492e-05,6.88459842009555e-07,9.872677469362933e-06,0.0,7.593852583551746e-06,4.1986859931451086e-07,7.173983984237234e-06,0.0
0.0,0.25,32,8,training_support,original_early_stop,30,2.476165489624331e-06,1.0728782454648852e-05,13.643999802294877,1.0984039842820709e-06,1.377761505342264e-06,5.558599319878379e-34,1.4907779871675686e-19,4.555497851166379e-08,2.2628187006264667e-06,2.16650879862389e-05,3.0825857551216166e-06,1.9746916947386286e-05,2.930481066804114e-07,1.0847133986618526e-06,-8.197670544951499e-07,1.918171038852614e-06,7.539694373394704e-17,2.530566819220765e-05,2.5558668073068927e-06,2.2749801384900756e-05,0.0,2.2829502702583317e-05,3.082585755124232e-06,1.9746916947459084e-05,0.0
0.0,0.25,32,8,training_support,fixed_3000_ablation,30,4.670835367018054e-06,1.2222003228172835e-05,14.990463625665148,2.7120524947982397e-06,1.9587828722198393e-06,5.558599319878379e-34,2.439454888092385e-19,5.108969555744913e-08,2.305391904297314e-06,4.0486325871026105e-05,3.730914961257722e-06,3.634875031918757e-05,1.7774310925283743e-07,1.7810397629670016e-06,-1.4255230569604082e-06,4.137575551838534e-06,7.990993527691795e-17,4.475050064754326e-05,2.4831350135501537e-06,4.2267365633993115e-05,0.006423611111111111,4.007966528052522e-05,3.7309149612596856e-06,3.6348750319265525e-05,0.0
0.0,0.25,32,8,initial_state_interpolation,original_early_stop,30,3.522755426190506e-06,1.0711060890238169e-05,14.384350917519631,3.3371037748600715e-06,1.8565165133038478e-07,7.092909402974666e-33,1.0672615135404184e-18,5.60687761219647e-08,3.3108969525542805e-06,2.0299649867849607e-05,2.830284249164245e-06,1.7443158796288482e-05,3.450898377298405e-08,1.5114266755740075e-07,4.806127033900355e-07,2.8564910715611254e-06,9.103952468736583e-17,2.3796198471734253e-05,3.3454059363272627e-06,2.0450792535406997e-05,0.0,2.027344304554375e-05,2.8302842491684225e-06,1.7443158796375326e-05,0.0
0.0,0.25,32,8,initial_state_interpolation,fixed_3000_ablation,30,4.39166093182813e-06,1.3888337613944339e-05,13.823245535627695,4.103492391528629e-06,2.8816854029929784e-07,7.092909402974666e-33,2.6291902682773483e-18,5.404827946309254e-08,3.087032773002988e-06,3.83069123190843e-05,3.3751135827159893e-06,3.3915339117742205e-05,2.167420370891687e-08,2.664943365903809e-07,-2.880808097130014e-07,4.391573201342096e-06,1.0026244293354428e-16,4.168211363238654e-05,3.1087069767118955e-06,3.857340665567465e-05,0.00625,3.7290452700558406e-05,3.375113582719755e-06,3.391533911783866e-05,0.0
0.0,0.25,128,32,training_support,original_early_stop,30,1.1834757960594253e-06,2.9019599128014894e-06,25.826934639636494,6.784280944284421e-07,5.050477016309835e-07,5.558599319878379e-34,1.0164395367051604e-19,5.108969552969356e-08,2.2220904387340435e-06,8.792403767248734e-06,1.8064193964465209e-06,8.529646715037385e-06,1.8347994671466927e-07,3.2156775491631425e-07,4.1567104228752267e-07,2.62757052211349e-07,7.042994253124782e-17,1.1519541907613756e-05,2.405570385448706e-06,9.113971522165048e-06,0.0,1.033606611155433e-05,1.8064193964497455e-06,8.529646715104589e-06,0.0
0.0,0.25,128,32,training_support,fixed_3000_ablation,30,3.1385314603537505e-06,7.361834268563791e-06,22.357076582433503,2.6201007790497777e-06,5.18430681303993e-07,5.558599319878379e-34,1.2874900798265365e-19,5.0238200599572735e-08,9.519489158143554e-07,1.7675058515855806e-05,3.151082942382743e-06,1.2855823710162997e-05,1.1861680702471413e-07,3.9981387427927894e-07,-2.1991340265683873e-06,4.819234805692809e-06,7.466426023457207e-17,1.9145438112974153e-05,1.0705657228390648e-06,1.807487239013509e-05,0.0,1.6006906652620404e-05,3.1510829423845254e-06,1.2855823710235879e-05,0.0
0.0,0.25,128,32,initial_state_interpolation,original_early_stop,30,2.1589225859921135e-06,3.0627639288420153e-06,22.865425311625355,2.093001821819507e-06,6.592076417255139e-08,7.092909402974666e-33,1.094366567852556e-18,5.051241092068892e-08,2.8022807093488197e-06,8.848282215093509e-06,1.5861922118254075e-06,7.971368890715733e-06,2.119602015654805e-08,4.472474401600335e-08,1.2160884975234121e-06,8.769133243777763e-07,8.162644754452879e-17,1.1716483688614861e-05,2.8234767295053525e-06,8.893006959109505e-06,0.0,9.557561102622747e-06,1.5861922118286726e-06,7.971368890794075e-06,0.0
0.0,0.25,128,32,initial_state_interpolation,fixed_3000_ablation,30,3.696638693415673e-06,7.940353842273877e-06,21.80490904810302,3.627767464464496e-06,6.887122895095754e-08,7.092909402974666e-33,1.0062751413381088e-18,6.162514132324048e-08,1.3860017956459022e-06,1.7561570434400162e-05,2.8932245962315703e-06,1.2426580169263516e-05,1.2880583153673943e-08,5.599064579728359e-08,-1.507222800585668e-06,5.134990265136646e-06,8.626225886485157e-17,1.9016443458997014e-05,1.3988823787995852e-06,1.7617561080197427e-05,0.0,1.531980476558134e-05,2.8932245962335134e-06,1.2426580169347827e-05,0.0
